case,model,order,nMom,L1,Linf,runtime_s,iterations,converged
CrossingBeams,HFMn,42,42,0.216020164379634,5.77466445950362,0.1881687,19,1
Gauss,HFMn,44,44,0.000264905594520029,0.000555961309184339,0.0228887,7,1
Heaviside,HFMn,44,44,0.0192834005442144,0.617343188690914,0.0176953,24,1
CrossingBeams,HFMn,44,44,0.199722003737257,5.42728124312524,0.0675098,19,1
Gauss,HFMn,46,46,0.000241915018923643,0.000509239920634674,0.0114742,7,1
Heaviside,HFMn,46,46,0.0184314651922839,0.617343188690086,0.0489976,24,1
CrossingBeams,HFMn,46,46,0.184794751836127,5.09802180241219,0.1507902,24,1
Gauss,HFMn,48,48,0.000221759805021316,0.000466300566584477,0.0068826,7,1
Heaviside,HFMn,48,48,0.017646359422286,0.617343188689329,0.0556859,24,1
CrossingBeams,HFMn,48,48,0.170943819569681,4.78735801859404,0.0917593,19,1
Gauss,HFMn,50,50,0.000204023116125592,0.000431407600423483,0.0062484,7,1
Heaviside,HFMn,50,50,0.016923414280697,0.617343188688634,0.0691868,24,1
CrossingBeams,HFMn,50,50,0.158356498600548,4.49553009353052,0.0862163,19,1
Gauss,HFMn,52,52,0.000188336022879148,0.000398869265225255,0.0084479,7,1
Heaviside,HFMn,52,52,0.016238636238591,0.617343188687995,0.0349225,24,1
CrossingBeams,HFMn,52,52,0.14699481731795,4.22230748822393,0.1261521,23,1
Gauss,HFMn,54,54,0.000174390305083348,0.000370566785089288,0.0239722,7,1
Heaviside,HFMn,54,54,0.0156195102554552,0.617343188687404,0.0670204,24,1
CrossingBeams,HFMn,54,54,0.136625219756321,3.96719654536252,0.0913722,23,1
Gauss,HFMn,56,56,0.000161940308899165,0.000340992239603155,0.006284,7,1
Heaviside,HFMn,56,56,0.0151222870365008,0.617343188686856,0.0971193,24,1
CrossingBeams,HFMn,56,56,0.127386491384996,3.7295323915593,0.0827664,23,1
Gauss,HFMn,58,58,0.000150770777469517,0.000307276423057168,0.0058572,7,1
Heaviside,HFMn,58,58,0.0145404204079706,0.617343188686347,0.0644546,24,1
CrossingBeams,HFMn,58,58,0.118822499987868,3.50849581018112,0.12591,23,1
Gauss,HFMn,60,60,0.000140722288897962,0.000302715985128654,0.0050817,7,1
Heaviside,HFMn,60,60,0.0140766129463438,0.617343188685873,0.0640005,24,1
CrossingBeams,HFMn,60,60,0.11097228478331,3.30317809372421,0.1313564,23,1
Gauss,PMPn,2,2,0.410971678830538,0.369267931680383,0.0002761,0,1
Heaviside,PMPn,2,2,0.423911811248,0.553517933560569,0.0003713,0,1
CrossingBeams,PMPn,2,2,2.16782602812093,17.9476970278332,0.0002954,0,1
Gauss,PMPn,4,4,0.0362825769940102,0.980802112732683,0.000206,0,1
Heaviside,PMPn,4,4,0.0238381142509882,0.0571428620476317,0.0001795,0,1
CrossingBeams,PMPn,4,4,3.60042713912753,15.9050024057954,0.0001725,0,1
Gauss,PMPn,6,6,0.0441025150559862,0.109427224568669,0.0001869,0,1
Heaviside,PMPn,6,6,0.142316544004161,0.556748795692978,0.0002002,0,1
CrossingBeams,PMPn,6,6,2.44734392542657,15.5767596959571,0.0001928,0,1
Gauss,PMPn,8,8,0.0282007501365148,0.917491709214448,0.0001719,0,1
Heaviside,PMPn,8,8,0.017714323797358,1.02857142857146,0.0002057,0,1
CrossingBeams,PMPn,8,8,2.87155517088129,14.0538237532605,0.0001981,0,1
Gauss,PMPn,10,10,0.0180983233462068,0.79620801022893,0.0002051,0,1
Heaviside,PMPn,10,10,0.0929095115580566,1.30787859612349,0.0002177,0,1
CrossingBeams,PMPn,10,10,2.10117829498869,13.4697392247693,0.0002277,0,1
Gauss,PMPn,12,12,0.0138102133911534,0.879999298972185,0.0002239,0,1
Heaviside,PMPn,12,12,0.0111412857218703,0.0571428620476331,0.0002413,0,1
CrossingBeams,PMPn,12,12,2.16530853433199,14.8362868172667,0.0002245,0,1
Gauss,PMPn,14,14,0.0109586259273976,0.0283494908179552,0.0002279,0,1
Heaviside,PMPn,14,14,0.0679993015006412,0.553715281814795,0.0002956,0,1
CrossingBeams,PMPn,14,14,1.73387153223311,11.7397457131937,0.0002339,0,1
Gauss,PMPn,16,16,0.0139987738869312,0.845710241872279,0.0002341,0,1
Heaviside,PMPn,16,16,0.0161619809801377,1.02857142857145,0.0003251,0,1
CrossingBeams,PMPn,16,16,2.0482407557184,10.7209371575405,0.000316,0,1
